Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,PurchasingLinks
1,single battery cell,Battery_Cell,BT1,3.7V Lipo,battery_holder,1,,,,,,
2,,C_0.1uF,C1 C2,C_0.1uF,C_0805_OEM,2,http://datasheets.avx.com/X7RDielectric.pdf,Value,478-3352-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=478-3352-1-ND,
3,,C_100pF,C5,C_100pF,C_0805_OEM,1,https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf,Value,399-1122-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397,
4,,C_10uF,C3 C4,C_10uF,C_0805_OEM,2,http://datasheets.avx.com/cx5r.pdf,Value,478-5167-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/avx-corporation/0805ZD106KAT2A/478-5167-1-ND/1913257,
5,,C_30pF,C6 C7,C_30pF,C_0805_OEM,2,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,Value,1276-1130-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C300JBANNNC/1276-1130-1-ND/3889216,
6,,LED_0805,D1 D2 D3,LED_0805,LED_0805_OEM,3,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,Value,475-1410-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=475-1410-1-ND,
7,Micro SD Card Socket with card detection pins,Micro_SD_Card_Det,J2,Micro_SD_Card_Det,SD-Card,1,https://www.hirose.com/product/en/download_file/key_name/DM3/category/Catalog/doc_file_id/49662/?file_category_id=4&item_id=195&is_series=1,,,,,
8,,Ultrafit_2,J1,Ultrafit_2,Ultrafit_2_RA,1,,Value,WM11570-ND,Digi-Key,https://www.digikey.com/product-detail/en/molex-llc/1722861102/WM11570-ND/5344267,
9,,CONN_02X03,P1,CONN_02X03,Pin_Header_Straight_2x03,1,http://portal.fciconnect.com/Comergent//fci/drawing/67996.pdf,Value,609-3234-ND,Digi-Key,https://www.digikey.com/product-detail/en/amphenol-fci/67997-206HLF/609-3234-ND/1878491,
10,"200V Vds, N-Channel MOSFET, 2.6V Logic Level, TO-92",IRLML6344,Q1,IRLML6344,IRLML6344TRPBFCT-ND,1,https://www.infineon.com/dgdl/irlml6344pbf.pdf?fileId=5546d462533600a4015356689c44262c,,,,,https://www.digikey.com/product-detail/en/infineon-technologies/IRLML6344TRPBF/IRLML6344TRPBFCT-ND/2538168
11,,5K,R3,5K,R_0805_OEM,1,,,,,,
12,,5K,R2,9K,R_0805_OEM,1,,,,,,
13,,R_100,R7,R_100,R_0805_OEM,1,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD100RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD100RCT-ND,
14,,R_10k,R1 R8 R9,R_10k,R_0805_OEM,3,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,
15,,R_200,R4 R5 R6,R_200,R_0805_OEM,3,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Value,RMCF0805JT200RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND,
16,"TQFP32, 16k Flash, 1kB SRAM, 512B EEPROM",ATMEGA328P-AU,U1,ATMEGA328P-AU,TQFP-32_7x7mm_Pitch0.8mm,1,http://www.atmel.com/images/atmel-8271-8-bit-avr-microcontroller-atmega48a-48pa-88a-88pa-168a-168pa-328-328p_datasheet.pdf,,,,,
17,,L6932D1.2,U4,L6932D1.2,L6932D1.2TR,1,,,,,,
18,,MMA8451QT,U3,MMA8451QT,MMA8451QT,1,,,,,,https://www.digikey.com/products/en?mpart=MMA8451QT&v=568
19,,Crystal_SMD,Y1,Crystal_SMD,Crystal_SMD_FA238,1,https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238V_en.pdf,Value,SER3686CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SER3686CT-ND,





Component Groups:,19
Component Count:,28
Fitted Components:,28
Number of PCBs:,1
Total components:,28
Schematic Version:,
Schematic Date:,
BoM Date:,Thu 12 Apr 2018 10:37:11 PM EDT
Schematic Source:,/home/william/Desktop/OlinRocketryClub/phoenix/phoenix.sch
KiCad Version:,Eeschema 4.0.7-e2-6376~58~ubuntu16.04.1
