Component,References,Value,Quantity Per PCB,Datasheet,Package,MPN,MFN,PurchasingLink,PurchasingLinks
1,BT1,3.7V Lipo,1,,,,,,
2,C1 C2,C_0.1uF,2,http://datasheets.avx.com/X7RDielectric.pdf,Value,478-3352-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=478-3352-1-ND,
3,C8 C9 C10,C_1000pF,3,,Value,1276-6843-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/samsung-electro-mechanics/CL21B102KB6WPNC/1276-6843-1-ND/5961702,
4,C5,C_100pF,1,https://content.kemet.com/datasheets/KEM_C1003_C0G_SMD.pdf,Value,399-1122-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/kemet/C0805C101J5GACTU/399-1122-1-ND/411397,
5,C3 C4,C_10uF,2,http://datasheets.avx.com/cx5r.pdf,Value,478-5167-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/avx-corporation/0805ZD106KAT2A/478-5167-1-ND/1913257,
6,C6 C7,C_30pF,2,https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL_Series_MLCC_ds.pdf,Value,1276-1130-1-ND,Digi-Key,https://www.digikey.com/product-detail/en/samsung-electro-mechanics-america-inc/CL21C300JBANNNC/1276-1130-1-ND/3889216,
7,D1 D2 D3,LED_0805,3,http://www.osram-os.com/Graphics/XPic9/00078860_0.pdf,Value,475-1410-1-ND,Digi-Key,https://www.digikey.com/products/en?keywords=475-1410-1-ND,
8,J2,Micro_SD_Card_Det,1,,,,,,
9,J1,Ultrafit_2,1,,Value,WM11570-ND,Digi-Key,https://www.digikey.com/product-detail/en/molex-llc/1722861102/WM11570-ND/5344267,
10,P1,CONN_02X03,1,http://portal.fciconnect.com/Comergent//fci/drawing/67996.pdf,Value,609-3234-ND,Digi-Key,https://www.digikey.com/product-detail/en/amphenol-fci/67997-206HLF/609-3234-ND/1878491,
11,Q1,IRLML6344,1,https://www.infineon.com/dgdl/irlml6344pbf.pdf?fileId=5546d462533600a4015356689c44262c,,,,,https://www.digikey.com/product-detail/en/infineon-technologies/IRLML6344TRPBF/IRLML6344TRPBFCT-ND/2538168
12,R3,5K,1,,,,,,
13,R2,9K,1,,,,,,
14,R7,R_100,1,https://www.seielect.com/Catalog/SEI-rncp.pdf,Value,RNCP0805FTD100RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RNCP0805FTD100RCT-ND,
15,R1 R8 R9,R_10k,3,http://www.bourns.com/data/global/pdfs/CRS.pdf,Value,CRS0805-FX-1002ELFCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=CRS0805-FX-1002ELFCT-ND,
16,R4 R5 R6,R_200,3,https://www.seielect.com/Catalog/SEI-RMCF_RMCP.pdf,Value,RMCF0805JT200RCT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=RMCF0805JT200RCT-ND,
17,U2,ADX377,1,,,,,,https://www.digikey.com/product-detail/en/analog-devices-inc/ADXL377BCPZ-RL7/ADXL377BCPZ-RL7CT-ND/3678489
18,U1,ATMEGA328P-AU,1,,,,,,
19,U4,L6932D1.2,1,,,,,,
20,U3,MMA8451QT,1,,,,,,https://www.digikey.com/products/en?mpart=MMA8451QT&v=568
21,U5,RFTRANS434MHZ,1,,,,,,https://www.sparkfun.com/products/10534
22,Y1,Crystal_SMD,1,https://support.epson.biz/td/api/doc_check.php?dl=brief_FA-238V_en.pdf,Value,SER3686CT-ND,Digi-Key,https://www.digikey.com/products/en?keywords=SER3686CT-ND,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Component Groups:,,,,,,,,,
Component Count:,,,,,,,,,
Fitted Components:,,,,,,,,,
Number of PCBs:,,,,,,,,,
Total components:,,,,,,,,,
Schematic Version:,,,,,,,,,
Schematic Date:,,,,,,,,,
BoM Date:,,,,,,,,,
Schematic Source:,,,,,,,,,
KiCad Version:,,,,,,,,,
